_id,ID,Binomal_Jetz,English,Museum_collection,Museum_accession,Sex,Museum_genus,Museum_species,Museum_subspecies,Specimen_label_photos,MMB_scan_url,MMB_scan_download,Markup_1,Markup_2,Markup_3,Markup_4
42,Anurophasis_monorthonyx_1,Anurophasis_monorthonyx,Snow Mountain Quail,Tring,1952.17.1,M,Anurophasis,monothonynx,,Y,https://www.markmybird.org/gallery/anurophasis_monorthonyx/1201,http://lfs.nhm.ac.uk/mark-my-bird/Anurophasis_monothonynx/Anurophasis_monothonynx_1.obj,44_Chris,36_zoe,404_Nathaniel,35_Lara
43,Perdicula_asiatica_1,Perdicula_asiatica,Jungle Bush-quail,Tring,89.5.10.608,M,Perdicula,asiatica,asiatica,Y,https://www.markmybird.org/gallery/perdicula_asiatica/1687,http://lfs.nhm.ac.uk/mark-my-bird/Perdicula_asiatica/Perdicula_asiatica_1.obj,35_Lara,36_zoe,52_grrlscientist,44_Chris
44,Arborophila_mandellii_1,Arborophila_mandellii,Chestnut-breasted Partridge,Tring,89.5.10.973,M,Arborophila,mandellii,,Y,https://www.markmybird.org/gallery/arborophila_mandellii/20,http://lfs.nhm.ac.uk/mark-my-bird/Arborophila_mandellii/Arborophila_mandellii_1.obj,35_Lara,480_KateB,43_elliot,44_Chris
45,Caloperdix_oculeus_1,Caloperdix_oculeus,Ferruginous Partridge,Tring,1916.12.27.29,M,Caloperdix,oculea,oculea,Y,https://www.markmybird.org/gallery/caloperdix_oculeus/1236,http://lfs.nhm.ac.uk/mark-my-bird/Caloperdix_oculea/Caloperdix_oculea_1.obj,414_Andrew,36_zoe,529_EmmaD,44_Chris
46,Haematortyx_sanguiniceps_1,Haematortyx_sanguiniceps,Crimson-headed Partridge,Tring,1927.4.18.10,M,Haematortyx,sanguiniceps,,Y,https://www.markmybird.org/gallery/haematortyx_sanguiniceps/1836,http://lfs.nhm.ac.uk/mark-my-bird/Haematortyx_sanguiniceps/Haematortyx_sanguiniceps_1.obj,465_JSquirrell,444_Skite4,485_oharar,43_elliot
47,Rollulus_rouloul_1,Rollulus_rouloul,Crested Partridge,Manchester,3634,M,Rollulus,rouloul,,,https://www.markmybird.org/gallery/rollulus_rouloul/428,http://lfs.nhm.ac.uk/mark-my-bird/Rollulus_rouloul/Rollulus_rouloul_1.obj,41_Emma,190_Pardalotus,43_elliot,35_Lara
48,Ptilopachus_petrosus_3,Ptilopachus_petrosus,Stone Partridge,Tring,1936.2.21.10,M,Ptilopachus,petrosus,petrosus,Y,https://www.markmybird.org/gallery/ptilopachus_petrosus/410,http://lfs.nhm.ac.uk/mark-my-bird/Ptilopachus_petrosus/Ptilopachus_petrosus_1.obj,44_Chris,363_Peregrin3,43_elliot,
49,Bambusicola_fytchii_1,Bambusicola_fytchii,Mountain Bamboo-partridge,Tring,1926.9.8.113,M,Bambusicola,fythchii,fythchii,Y,https://www.markmybird.org/gallery/bambusicola_fytchii/1215,http://lfs.nhm.ac.uk/mark-my-bird/Bambusicola_fythchii/Bambusicola_fythchii_1.obj,44_Chris,36_zoe,404_Nathaniel,43_elliot
50,Galloperdix_spadicea_1,Galloperdix_spadicea,Red Spurfowl,Tring,89.5.10.1492,M,Galloperdix,spadicea,spadicea,Y,https://www.markmybird.org/gallery/galloperdix_spadicea/1856,http://lfs.nhm.ac.uk/mark-my-bird/Galloperdix_spadicea/Galloperdix_spadicea_1.obj,465_JSquirrell,52_grrlscientist,44_Chris,36_zoe
51,Ithaginis_cruentus_1,Ithaginis_cruentus,Blood Pheasant,Manchester,9891,F,Ithaginis,cruentus,sinensis,,https://www.markmybird.org/gallery/ithaginis_cruentus/920,http://lfs.nhm.ac.uk/mark-my-bird/Ithaginis_cruentus/Ithaginis_cruentus_1.obj,44_Chris,40_chris13,364_cjam,43_elliot
