FocalGenus,Comment/Source,Type,Clade,Genus1,Genus2,Genus3,Genus4,Genus5,Genus6,Genus7,Genus8,Genus9,Genus10,Genus11,Genus12,Genus13,Genus14,Genus15,Genus16,Genus17,Genus18,Genus19,Genus20,Genus21,Genus22,Genus23,Genus24,Genus25,Genus26,Genus27,Genus28,Genus29,Genus30,Genus31,Genus32,Genus33,Genus34,Genus35,Genus36,Genus37,Genus38,Genus39,Genus40,Genus41,Genus42,Genus43,Genus44,Genus45,Genus46,Genus47,Genus48,Genus49,Genus50,Genus51,Genus52,Genus53,Genus54,Genus55,Genus56,Genus57,Genus58,Genus59,Genus60,Genus61,Genus62,Genus63,Genus64,Genus65,Genus66,Genus67,Genus68,Genus69,Genus70,Genus71,Genus72,Genus73,Genus74,Genus75,Genus76,Genus77,Genus78,Genus79,Genus80,Genus81,Genus82,Genus83,Genus84,Genus85,Genus86,Genus87,Genus88,Genus89,Genus90,Genus91,Genus92,Genus93,Genus94,Genus95,Genus96,Genus97,Genus98,Genus99,Genus100,Genus101,Genus102,Genus103,Genus104,Genus105,Genus106
Aplopelia,was separated from Columba,include,Columbidae,Aplopelia,Macropygia,Reinwardtoena,Turacoena,Columba,Streptopelia,Nesoenas,Stigmatopelia,Patagioenas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptophaps,taxonmy,include,Columbidae,Cryptophaps,Ducula,Lopholaimus,Hemiphaga,Gymnophaps,Ptilinopus,Drepanoptila,Alectroenas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starnoenas,taxonmy,include,Columbidae,Starnoenas,Zenaida,Leptotila,Geotrygon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calyptura,"All. See also: Jose G. Tello, Robert G. Moyle, Daniel J. Marchese, and Joel Cracraft. 2009. Phylogeny and phylogenetic classification of the tyrant flycatchers, cotingas, manakins, and their allies (Aves: Tyrannides). Cladistics 25:429-467.",include,Cotingidae,Calyptura,Ampelioides,Carpornis,Carpodectes,Cephalopterus,Conioptilon,Cotinga,Gymnoderus,Haematoderus,Lipaugus,Perissocephalus,Phibalura,Pipreola,Porphyrolaema,Procnias,Pyroderus,Querula,Tijuca,Xipholena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phibalura,"All. See also: Jose G. Tello, Robert G. Moyle, Daniel J. Marchese, and Joel Cracraft. 2009. Phylogeny and phylogenetic classification of the tyrant flycatchers, cotingas, manakins, and their allies (Aves: Tyrannides). Cladistics 25:429-467.",include,Cotingidae,Phibalura,Ampelioides,Calyptura,Carpodectes,Cephalopterus,Conioptilon,Cotinga,Gymnoderus,Haematoderus,Lipaugus,Perissocephalus,Carpornis,Pipreola,Porphyrolaema,Procnias,Pyroderus,Querula,Tijuca,Xipholena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caliechthrus,Subfamily Cuculinae,include,Cuculidae,Caliechthrus,Cacomantis,Cercococcyx,Chrysococcyx,Cuculus,Eudynamys,Microdynamis,Rhamphomantis,Scythrops,Surniculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cichlocolaptes,Tribe Philydorini - foliage-gleaners and allies,include,Furnaridae,Cichlocolaptes,Anabacerthia,Anabazenops,Ancistrops,Hylocryptus,Hyloctistes,Philydor,Simoxenops,Syndactyla,Thripadectes,Megaxenops,Automolus,Heliobletus,Clibanornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brachygalba,"Witt 2004 - Fig 4.4. Witt, C. C. 2004. Rates of molecular evolution and their application to neotropical avian biogeography. Louisiana State University Baton Rouge.",include,Galbulidae,Brachygalba,Galbalcyrhynchus,Jacamerops,Galbula,Jacamaralcyon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galbalcyrhynchus,"Witt 2004 - Fig 4.4. Witt, C. C. 2004. Rates of molecular evolution and their application to neotropical avian biogeography. Louisiana State University Baton Rouge.",include,Galbulidae,Galbalcyrhynchus,Galbula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacamaralcyon,"Witt 2004 - Fig 4.4. Witt, C. C. 2004. Rates of molecular evolution and their application to neotropical avian biogeography. Louisiana State University Baton Rouge.",include,Galbulidae,Jacamaralcyon,Brachygalba,Jacamerops,Galbula,Galbalcyrhynchus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacamerops,"Witt 2004 - Fig 4.4. Witt, C. C. 2004. Rates of molecular evolution and their application to neotropical avian biogeography. Louisiana State University Baton Rouge.",include,Galbulidae,Jacamerops,Galbalcyrhynchus,Galbula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melichneutes,all,include,Indicatoridae,Melichneutes,Prodotiscus,Indicator,Melignomon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melignomon,all,include,Indicatoridae,Melignomon,Prodotiscus,Indicator,Melichneutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prodotiscus,all,include,Indicatoridae,Prodotiscus,Melignomon,Indicator,Melichneutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procelsterna,taxonomy,exclude,Lari,Creagrus,Rhodostethia,Larus,Leucophaeus,Rissa,Xema,Pagophila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procelsterna,taxonomy,exclude,Lari,Sterna,Phaetusa,Larosterna,Chlidonias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procelsterna,Noddies,include,Lari,Procelsterna,Gygis,Anous,Rynchops,Sterna,Phaetusa,Larosterna,Chlidonias,Creagrus,Rhodostethia,Larus,Leucophaeus,Rissa,Xema,Pagophila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferminia,taxonomy,include,M1,Ferminia,Campylorhynchus,Catherpes,Cinnycerthia,Cistothorus,Cyphorhinus,Henicorhina,Hylorchilus,Microcerculus,Odontorchilus,Salpinctes,Thryomanes,Thryorchilus,Thryothorus,Troglodytes,Uropsila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cataponera,all,include,M5,Cataponera,Entomodestes,Psophocichla,Nesocichla,Neocossyphus,Myadestes,Hylocichla,Geomalia,Turdus,Cochoa,Cichlopsis,Chlamydochaera,Catharus,Grandala,Sialia,Stizorhina,Zoothera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geomalia,all,include,M5,Geomalia,Entomodestes,Psophocichla,Nesocichla,Neocossyphus,Myadestes,Hylocichla,Cataponera,Turdus,Cochoa,Cichlopsis,Chlamydochaera,Catharus,Grandala,Sialia,Stizorhina,Zoothera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grandala,all,include,M5,Grandala,Entomodestes,Psophocichla,Nesocichla,Neocossyphus,Myadestes,Hylocichla,Cataponera,Turdus,Cochoa,Cichlopsis,Chlamydochaera,Catharus,Geomalia,Sialia,Stizorhina,Zoothera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dioptrornis,all,include,M6,Dioptrornis,Heinrichia,Monticola,Melaenornis,Luscinia,Irania,Muscicapella,Hodgsonius,Myiomela,Fraseria,Ficedula,Eumyias,Erythropygia,Erithacus,Enicurus,Humblotia,Phoenicurus,Sheppardia,Saxicoloides,Saxicola,Rhyacornis,Rhinomyias,Muscicapa,Pinarornis,Cyornis,Oenanthe,Niltava,Namibornis,Myrmecocichla,Myophonus,Myioparus,Pogonocichla,Empidornis,Cercotrichas,Swynnertonia,Cyanoptila,Cossyphicula,Cossypha,Copsychus,Cinclidium,Chaimarrornis,Cercomela,Bradornis,Brachypteryx,Alethe,Cichladusa,Sigelus,Xenocopsychus,Trichixos,Tarsiger,Stiphrornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Humblotia,all,include,M6,Humblotia,Heinrichia,Monticola,Melaenornis,Luscinia,Irania,Muscicapella,Hodgsonius,Myiomela,Fraseria,Ficedula,Eumyias,Erythropygia,Erithacus,Enicurus,Dioptrornis,Phoenicurus,Sheppardia,Saxicoloides,Saxicola,Rhyacornis,Rhinomyias,Muscicapa,Pinarornis,Cyornis,Oenanthe,Niltava,Namibornis,Myrmecocichla,Myophonus,Myioparus,Pogonocichla,Empidornis,Cercotrichas,Swynnertonia,Cyanoptila,Cossyphicula,Cossypha,Copsychus,Cinclidium,Chaimarrornis,Cercomela,Bradornis,Brachypteryx,Alethe,Cichladusa,Sigelus,Xenocopsychus,Trichixos,Tarsiger,Stiphrornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinarornis,all,include,M6,Pinarornis,Heinrichia,Monticola,Melaenornis,Luscinia,Irania,Muscicapella,Hodgsonius,Myiomela,Fraseria,Ficedula,Eumyias,Erythropygia,Erithacus,Enicurus,Dioptrornis,Phoenicurus,Sheppardia,Saxicoloides,Saxicola,Rhyacornis,Rhinomyias,Muscicapa,Humblotia,Cyornis,Oenanthe,Niltava,Namibornis,Myrmecocichla,Myophonus,Myioparus,Pogonocichla,Empidornis,Cercotrichas,Swynnertonia,Cyanoptila,Cossyphicula,Cossypha,Copsychus,Cinclidium,Chaimarrornis,Cercomela,Bradornis,Brachypteryx,Alethe,Cichladusa,Sigelus,Xenocopsychus,Trichixos,Tarsiger,Stiphrornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xenocopsychus,all,include,M6,Xenocopsychus,Heinrichia,Monticola,Melaenornis,Luscinia,Irania,Muscicapella,Hodgsonius,Myiomela,Fraseria,Ficedula,Eumyias,Erythropygia,Erithacus,Enicurus,Dioptrornis,Phoenicurus,Sheppardia,Saxicoloides,Saxicola,Rhyacornis,Rhinomyias,Muscicapa,Humblotia,Cyornis,Oenanthe,Niltava,Namibornis,Myrmecocichla,Myophonus,Myioparus,Pogonocichla,Empidornis,Cercotrichas,Swynnertonia,Cyanoptila,Cossyphicula,Cossypha,Copsychus,Cinclidium,Chaimarrornis,Cercomela,Bradornis,Brachypteryx,Alethe,Cichladusa,Sigelus,Pinarornis,Trichixos,Tarsiger,Stiphrornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspatha,"Witt 2004, PhD thesis, Fig 4.5",include,Motmotidae,Aspatha,Baryphthengus,Momotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Electron,"Witt 2004, PhD thesis, Fig 4.5",include,Motmotidae,Electron,Hylomanes,Eumomota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eumomota,"Witt 2004, PhD thesis, Fig 4.5",include,Motmotidae,Eumomota,Hylomanes,Electron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dactylortyx,"Will Stein pers. comm. Holman, J.A. 1961. 1961. Osteology of living and fossil new world quails(Aves, Galliformes). Bulletin of the Florida State Museum, vol. 6, no. 2, pp 131-233.",include,Odontophoridae,Dactylortyx,Cyrtonyx,Odontophorus,Rhynchortyx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrortyx,taxonomy,exclude,Odontophoridae,Oreortyx,Colinus,Callipepla,Odontophorus,Rhynchortyx,Dactylortyx,Cyrtonyx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrortyx,"Will Stein pers. comm. Holman, J.A. 1961. 1961. Osteology of living and fossil new world quails(Aves, Galliformes). Bulletin of the Florida State Museum, vol. 6, no. 2, pp 131-233.",include,Odontophoridae,Dendrortyx,Philortyx,Oreortyx,Colinus,Callipepla,Odontophorus,Rhynchortyx,Dactylortyx,Cyrtonyx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus,"Will Stein pers. comm. Holman, J.A. 1961. 1961. Osteology of living and fossil new world quails(Aves, Galliformes). Bulletin of the Florida State Museum, vol. 6, no. 2, pp 131-233.",include,Odontophoridae,Odontophorus,Rhynchortyx,Dactylortyx,Cyrtonyx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
