Clade,Species,cmyc,rag1,rag2,myoglobin,Glyceraldehyde3phosphate,MUSK,OrnithineDecarboxylase,Rhodopsin,TGFB2,Tropomyosin,ZENK,ZENK3UTR,cytb,coi,nd2,nd3
P20b,Passerella_iliaca,EF568249,EF568271,EF568298,,,,,,,,EF568368,EF568184,AY124544,DQ434707,,
P21,Icterus_bullockii,,,,,,,AF491980,,,,,,EF529950,DQ433690,EF529839,
P3,Ire_cyanogaster,,AY056999,AY443158,EU680610,,,EU680735,,,,,,,,,
P5,Prunella_modularis,AF377259,AY228034,,AY228318,EF441227,,EU680756,,,,EF568354,,AY228080,,AF407038,
P6,Euplectes_progne,AY227985,AY228011,,,,,,,,,,,AM710246,,AM709964,AM709923
P7,Vidua_macroura,EF568243,EF568266,EF568294,,AY363815,,,,AY363839,,EF568358,EF568174,,,AF407023,
P8,Passer_montanus,AF295171,AF143738,AY443198,AY228311,AY336586,EU739848,EU325847,EU737255,EU737419,EU737570,EF568352,EF568169,AY030118,AY666248,AY030144,AY030164
P9,Motacilla_alba,AY227989,AY228023,,AY228307,,,EU680699,,,,EF568353,EF568170,EU167005,DQ433816,AY681675,
Paleogthae,Rhea_america,DQ881937,DQ881836,,EU739903,,EU739748,DQ881795,EU737155,EU737313,EU737482,,,NC_000846,NC_000846,NC_000846,NC_000846
Panurus_biarmicus,Panurus_biarmicus,AF377271,AY319993,,,,,FJ358083,,,,,,AY228070,,AY136604,
Pelecanidae,Pelecanus_occidentalis,,,,EU740007,AF339345,EU739850,,EU737256,EU737422,EU737572,AF490148,AF490199,U83160,DQ433067,,
Petroicidae,Eopsaltria_australis,AY064283,AY064262,,EAU40495,EF441216,,EF441238,,,,,,AF096455,,AY064749,
Phaethontidae,Phaethon_rubricauda,DQ881918,DQ881820,,EU740010,,EU739853,EF552734,EU737259,EU737425,EU737575,,,EU167010,AY369056,NC_007979,AP009043
Phalacrocoracidae,Phalacrocorax_carbo,DQ881919,DQ881821,,EU740012,AF339342,EU739854,EF552735,EU737260,EU737427,,,,U83164,DQ433900,,
Phasianidae,Gallus_gallus,,AF143730,,,,,,,EU737320,,AF026082,,L08376,AP003580,AP003580,AP003580
Phoenicopteridae,Phoenicopterus_ruber,,,,,AF339352,,,,,,,,U08940,AY567894,AY274075,NC_010089
Phoeniculidae,Phoeniculus_purpureus,,,,EU740017,,EU739858,,,EU737432,EU737579,,,EU167012,AF221664,,AY998974
Picidae,Picus_canus,,,,DQ188156,EU556888,,,,EU556941,EU665612,,,AY940808,EF515803,DQ479145,
Pipridae,Lepidothrix_corota,,AY057020,AY443204,EU740019,EU231647,EU739860,EU231846,EU737266,EU737434,EU737581,AF492518,AF492548,AY882216,EF111043,AY882202,
Podargidae,Podargus_strigoides,AF295134,DQ482614,,EU740023,,EU739863,DQ881767,EU737270,EU737438,EU737585,,,EF100672,EF373362,,
Podicipedidae,Podiceps_auritus,,,,EU740024,,EU739864,,EU737271,EU737439,EU737586,AF490142,AF490193,,DQ434721,DQ157679,
Procellariiidae,Pelecanoides_uritrix,DQ881916,DQ881818,,EU740006,,,DQ881760,,EU737421,,,,AF076076,,,
Psittacidae1,Melopsittacus_undulatus,,DQ143354,EF517685,,,,,EU665529,EU660269,EU665598,,,NC_009134,AY666289,NC_009134,NC_009134
Psittacidae2,Pionopsitta_caica,,,,,AY661262,,,EU665542,EU660283,EU665614,,,AY669419,AY661217,AY669460,
Psophidae,Psophia_crepitans,,,,EU740027,,EU739866,,EU737274,EU737442,EU737588,,,DQ485900,,,
Pteroclidae,Syrrhaptes_paradoxus,,,,EU740046,,EU739882,,EU737293,EU737461,EU737602,,,,,,
Rallidae,Heliornis_fulica,,,,EU739975,,EU739819,,EU737226,EU737389,EU737544,,,DQ485902,,,
Ramphastidae,Megalaima_virens,AY165829,AY165793,,EU739984,,EU739829,,EU737236,EU737399,EU737552,,,AY279271,,,
Regulus,Regulus_calendula,,AY057028,AY443220,EU740031,,,EU680760,EU737278,EU737446,EU737591,AF492526,AF492556,AJ004327,DQ434729,AY329435,
Rhinocryptidae,Scytalopus_magellanicus,,AY443331,AY443226,EU740040,,EU739876,,EU737287,EU737455,,,,X60945,,AY370597,AF111827
Rhynochetos_jubatus,Rhynochetos_jubatus,DQ881928,DQ881828,,DQ881872,,EU739869,DQ881777,EU737279,EU737447,EU737592,,,NC_010091,NC_010091,NC_010091,NC_010091
S10,Prinia_bairdii,,AY319998,AY799845,EU680599,FJ357921,,EU680754,,,,,,AY352536,,DQ871381,
S11,Hippolais_icteri,EF568226,EF568260,EF568284,DQ008531,,,EU680731,,,,EF568342,EF568159,AJ004316,FJ465334,,
S12,Paradoxornis_gularis,,AY319994,,FJ357953,FJ357883,,FJ358052,,,,,,AF484873,,,
S13,Yuhi_nigrimenta,,AY320006,AY799851,,,,,,FJ460921,,,,DQ092884,,FJ460785,DQ837500
S2,Parus_major,AF377263,AY443314,AY443197,AY228310,EU272098,,EU680749,,,,EF568331,EF568148,EU167009,EF515798,AY732642,
S3,Alauda_arvensis,AF377269,AY056978,AY443106,AY228284,,,EF625336,,,,EF568349,EF568166,AF074595,DQ432704,AY847059,
S4,Bradypterus_victorini,,AY799815,AY799830,EU680602,,,EU680710,,,,,,AY958231,,,
S5,Nicator_chloris,,AY319991,AY799841,EU680603,,,EU680745,,,,,,,,DQ402188,DQ402249
S6,Hirundo_rustica,AF377270,AY443290,AY443155,AY064258,EF441218,DQ176585,EF625337,,,AJ890727,,,DQ119526,DQ434603,DQ176542,DQ402247
S7S8,Aegithalos_caudatus,AY227974,AY228001,,AY228281,FJ357912,,EU680703,,,,,,DQ792803,EF515780,AY136588,
S9,Pycnonotus_barbatus,,AY057027,AY443219,EF625284,FJ357922,,EF625335,,,,,,,,DQ402232,DQ402293
Sagittarius_serpentarius,Sagittarius_serpentarius,DQ881930,EF078705,,DQ881873,,EU739872,DQ881779,EU737282,EU737450,,,,AJ604483,U83776,AY987050,
Scolopaci,Jaca_jaca,DQ881907,AY228776,,EU739979,,EU739824,DQ881747,EU737231,EU737394,,,,DQ385222,DQ385171,DQ385086,DQ385103
Scopus_umbretta,Scopus_umbretta,AY034419,DQ881830,,DQ881874,AF339344,,DQ881780,,EU737454,EU737597,,,U08936,,,
